Año	Trimestre	Actividades del gobierno y de organismos internacionales y extraterritoriales	Agricultura, ganadería, aprovechamiento forestal, pesca y caza	Comercio al por mayor	Comercio al por menor	Construcción	Dirección de corporativos y empresas	Electricidad, agua y suministro de gas por ductos al consumidor final	Industrias manufactureras	Información en medios masivos	Minería	Otros	Otros servicios excepto actividades del gobierno	Servicios de alojamiento temporal y de preparación de alimentos y bebidas	Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación	Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos	Servicios de salud y de asistencia social	Servicios educativos	Servicios financieros y de seguros	Servicios inmobiliarios y de alquiler de bienes muebles e intangibles	Servicios profesionales, científicos y técnicos	Transportes, correos y almacenamiento
2011 	Primero	1,641,027	2,528,436	1,549,222	5,180,381	1,472,642	9,050	216,838	5,254,388	215,809	227,829	2,602,403	2,335,144	389,281	3,782,226	227,875	1,033,951	984,601	706,178	1,002,892	1,515,644	1,228,349
2011 	Segundo	1,742,265	2,573,428	1,588,422	5,349,691	1,538,711	9,987	220,700	5,381,004	220,459	231,148	2,661,399	2,363,945	402,604	3,936,178	231,547	1,089,021	1,021,262	715,798	1,012,718	1,565,617	1,250,029
2011 	Tercero	1,776,964	2,610,779	1,631,299	5,448,582	1,598,033	10,792	222,799	5,464,652	225,329	233,838	2,676,797	2,398,823	420,575	4,409,012	237,718	1,116,222	1,057,433	722,428	1,029,638	1,627,687	1,277,109
2011 	Cuarto	1,803,825	2,726,108	1,671,595	5,521,879	1,645,368	11,499	224,606	5,533,213	230,335	237,241	2,790,355	2,422,131	438,700	4,510,737	241,766	1,141,910	1,085,275	727,792	1,040,419	1,680,658	1,294,845
2012 	Primero	1,839,360	2,760,096	1,680,018	5,531,177	1,658,511	11,968	225,854	5,548,977	232,631	238,836	2,806,367	2,425,335	445,350	4,539,589	243,384	1,155,807	1,100,972	728,805	1,041,231	1,699,393	1,300,012
2012 	Segundo	1,906,118	2,779,147	1,697,039	5,626,134	1,678,225	12,398	229,113	5,594,781	238,081	243,253	2,486,822	2,505,831	451,043	4,652,902	248,408	1,192,416	1,136,455	743,642	1,038,709	1,755,143	1,315,345
2012 	Tercero	1,938,440	2,879,533	1,711,912	5,649,371	1,695,567	12,987	229,018	5,632,201	241,253	243,469	2,495,224	2,508,848	460,299	4,724,768	250,786	1,259,053	1,161,187	745,478	1,039,744	1,787,304	1,320,990
2012 	Cuarto	1,959,386	2,900,202	1,731,266	5,682,095	1,719,422	13,501	230,239	5,767,784	244,593	246,358	2,541,698	2,518,126	472,121	4,757,997	253,031	1,314,319	1,180,182	747,692	1,042,472	1,820,458	1,330,825
2013 	Primero	1,986,423	2,933,726	1,753,068	5,726,618	1,748,842	14,007	231,664	5,820,029	248,514	249,302	2,625,661	2,525,919	481,573	4,812,744	255,452	1,335,151	1,198,466	752,504	1,044,383	1,861,039	1,343,158
2013 	Segundo	2,020,775	2,962,976	1,766,987	5,755,751	1,769,821	14,664	233,338	5,859,192	252,312	251,852	2,817,492	2,530,956	490,029	4,853,639	257,655	1,363,017	1,220,907	756,290	1,045,393	1,902,717	1,352,052
