Año	Mes	Aguascalientes	Baja California	Baja California Sur	Campeche	Chiapas	Chihuahua	Coahuila	Colima	Ciudad de México	Durango	Estado de México	Guanajuato	Guerrero	Hidalgo	Jalisco	Michoacán	Morelos	Nayarit	Nuevo León	Oaxaca	Puebla	Querétaro	Quintana Roo	San Luis Potosí	Sinaloa	Sonora	Tabasco	Tamaulipas	Tlaxcala	Veracruz	Yucatán	Zacatecas	No especificado
2010 	Enero	363,607	1,125,236	167,886	196,471	576,357	1,136,858	703,546	145,148	6,661,792	315,201	2,448,260	1,052,151	452,342	395,805	1,850,277	660,167	333,472	231,930	1,730,322	460,922	937,406	452,863	392,058	446,897	748,087	730,810	325,370	979,662	174,955	1,408,213	457,016	217,548	90,169
2010 	Febrero	364,272	1,126,629	168,576	197,661	578,067	1,137,798	705,056	145,590	6,661,234	316,169	2,455,886	1,054,595	453,267	397,491	1,853,666	662,539	334,662	232,559	1,732,299	462,711	940,921	453,486	393,363	447,782	749,694	732,632	327,129	981,830	175,485	1,413,921	458,257	218,178	427,594
2010 	Marzo	377,628	1,172,983	172,869	204,007	589,827	1,174,900	726,297	147,300	6,909,047	329,790	2,524,052	1,087,525	465,174	412,791	1,933,715	687,195	343,417	238,783	1,826,579	474,988	969,874	478,055	413,808	459,055	795,548	757,597	335,700	1,016,560	184,767	1,445,504	473,907	226,978	43,703
2010 	Abril	381,650	1,187,955	173,808	208,338	596,022	1,184,352	741,682	148,764	7,001,452	334,094	2,566,155	1,107,641	470,408	418,606	1,961,481	695,519	348,942	242,228	1,849,805	481,299	983,300	485,848	419,863	465,194	805,402	769,083	340,522	1,031,517	187,897	1,461,984	483,360	229,088	43,610
2010 	Mayo	387,614	1,209,119	178,086	211,861	602,171	1,201,847	755,205	151,087	7,123,200	338,974	2,610,724	1,124,050	480,714	425,940	2,001,510	706,369	353,985	245,307	1,914,419	487,317	996,769	491,757	429,683	471,036	822,662	782,012	367,002	1,047,790	189,769	1,485,582	490,885	250,754	47,758
2010 	Junio	392,978	1,225,711	181,357	214,984	612,616	1,216,917	768,797	153,278	7,197,167	345,813	2,655,480	1,144,270	494,200	446,169	2,042,964	719,947	360,220	249,122	1,943,969	501,802	1,015,319	499,955	436,425	480,529	833,858	796,186	373,115	1,063,991	192,180	1,508,887	499,802	257,672	47,751
2010 	Julio	399,721	1,232,702	183,398	217,481	628,081	1,236,235	776,854	154,807	7,240,503	350,397	2,687,649	1,158,111	514,544	483,941	2,072,512	741,101	364,302	251,788	1,975,235	519,237	1,045,630	505,380	440,037	491,696	850,494	803,204	376,519	1,072,200	194,958	1,541,825	505,478	265,242	47,678
2010 	Agosto	401,952	1,240,736	185,522	219,268	634,822	1,244,067	787,610	156,343	7,284,070	353,234	2,707,737	1,168,174	517,389	486,774	2,098,254	750,411	367,230	253,827	1,994,427	523,096	1,059,730	509,750	444,561	495,410	858,703	809,127	379,462	1,079,305	197,529	1,554,557	511,956	268,451	47,640
2010 	Septiembre	405,850	1,253,144	188,038	221,538	639,340	1,254,327	798,198	162,254	7,334,449	358,052	2,735,222	1,198,132	520,566	491,364	2,174,950	768,110	370,790	256,679	2,021,418	527,779	1,072,873	515,887	449,610	501,238	866,159	818,486	384,220	1,091,455	199,080	1,568,940	517,947	271,400	47,587
2010 	Octubre	413,244	1,276,726	193,455	225,020	648,396	1,274,093	818,126	167,489	7,438,817	365,919	2,796,009	1,225,847	527,587	499,790	2,218,352	786,171	378,000	261,767	2,060,567	534,939	1,092,350	529,579	461,327	513,234	883,957	832,632	390,860	1,112,755	203,636	1,596,207	528,972	277,416	43,476
2010 	Noviembre	417,139	1,290,637	196,317	226,869	655,353	1,288,073	830,330	168,433	7,503,250	370,997	2,832,545	1,244,082	532,311	505,000	2,256,963	795,746	382,578	265,472	2,084,521	539,788	1,104,001	537,206	467,527	521,014	894,424	847,728	396,567	1,125,635	206,862	1,616,407	535,535	280,739	51,795
2010 	Diciembre	424,812	1,306,655	199,981	230,038	663,154	1,306,138	846,262	169,972	7,600,503	376,999	2,900,610	1,255,485	540,687	514,085	2,272,685	802,911	390,644	269,686	2,115,026	547,831	1,124,362	545,668	474,424	532,990	910,553	864,106	402,593	1,141,786	209,499	1,649,187	542,099	285,540	51,740
2011 	Enero	426,343	1,310,977	201,203	231,587	665,854	1,310,341	850,593	170,049	7,619,881	378,930	2,914,816	1,256,977	542,441	516,606	2,273,371	803,651	392,499	270,903	2,122,082	550,376	1,128,672	548,206	476,444	535,876	914,058	867,409	404,924	1,146,433	210,156	1,655,585	544,018	286,886	51,695
2011 	Febrero	429,262	1,318,587	202,828	233,506	670,088	1,316,017	856,009	170,789	7,655,612	390,770	2,938,894	1,262,244	545,897	520,266	2,287,396	814,157	395,466	272,380	2,134,732	554,147	1,136,655	554,852	480,337	540,442	922,769	873,451	408,652	1,152,925	211,552	1,665,858	549,918	292,906	52,490
2011 	Marzo	432,092	1,327,345	204,755	235,768	675,263	1,325,285	864,127	172,437	7,707,100	395,975	2,968,440	1,278,418	549,444	525,311	2,310,229	823,255	399,075	273,946	2,153,613	558,386	1,146,912	560,576	485,425	548,047	930,493	879,584	413,346	1,162,968	213,024	1,681,003	554,084	295,994	52,446
2011 	Abril	434,905	1,342,344	206,441	237,176	683,353	1,331,224	870,500	174,567	7,759,477	398,197	2,985,217	1,284,468	551,338	529,293	2,320,620	828,450	401,392	275,753	2,166,870	562,097	1,152,945	564,599	488,762	558,581	968,867	884,487	416,221	1,168,653	214,188	1,694,826	556,807	297,218	52,326
2011 	Mayo	447,817	1,350,754	207,751	238,734	687,579	1,339,226	877,550	175,805	7,853,719	418,129	3,007,162	1,301,130	554,521	535,029	2,374,535	837,776	404,805	277,686	2,189,983	566,454	1,162,295	569,692	492,560	563,378	980,181	893,023	419,203	1,176,691	215,674	1,704,893	562,191	299,351	10,284
2011 	Junio	450,887	1,359,622	209,784	240,523	693,175	1,350,341	885,191	177,113	8,031,182	421,994	3,033,357	1,313,897	557,467	538,999	2,392,395	845,266	407,880	280,148	2,210,497	570,281	1,172,255	574,530	496,994	568,275	993,756	899,322	423,498	1,185,552	218,061	1,718,125	567,439	301,825	16,302
2011 	Julio	455,275	1,369,272	212,221	242,608	706,004	1,359,771	894,100	179,181	8,075,595	426,463	3,073,764	1,328,629	563,730	547,514	2,412,672	863,258	414,407	283,151	2,231,588	581,848	1,189,720	580,332	500,902	576,600	1,002,948	905,265	428,417	1,196,855	220,875	1,741,421	571,592	307,816	23,344
2011 	Agosto	459,926	1,383,581	213,912	244,164	713,857	1,365,805	901,685	181,746	8,167,854	428,926	3,093,054	1,348,156	566,885	557,448	2,426,597	868,722	417,345	285,970	2,261,950	587,351	1,200,985	585,962	505,836	583,692	1,016,820	913,114	432,627	1,204,687	223,866	1,757,365	575,401	310,366	1,020
2011 	Septiembre	463,509	1,393,826	216,037	246,701	723,929	1,375,985	911,264	184,502	8,272,243	434,164	3,132,499	1,368,649	572,646	564,903	2,454,223	883,809	423,914	288,726	2,277,673	595,780	1,218,821	590,847	510,775	588,780	1,026,456	924,560	441,451	1,215,335	225,719	1,775,573	579,189	313,007	1,014
2011 	Octubre	468,385	1,402,595	218,521	251,020	731,593	1,386,705	918,943	186,523	8,311,984	437,841	3,161,156	1,382,822	581,061	569,291	2,475,473	896,819	429,674	291,798	2,284,730	607,536	1,245,966	597,396	515,734	597,029	1,037,300	938,656	449,470	1,227,458	229,053	1,798,211	584,335	317,512	1,019
