Año	Mes	Régimen general de Ley personas morales	Régimen simplificado de Ley personas morales	Personas morales con fines no lucrativos	Régimen de pequeños contribuyentes	Régimen de sueldos y salarios e ingresos asimilados a salarios	Régimen de arrendamiento	Régimen de enajenación o adquisición de bienes	Régimen de los demás ingresos	Régimen de consolidación	Régimen residentes en el extranjero sin establecimiento permanente en México	Régimen de ingresos por dividendos (socios y accionistas)	Régimen de las personas físicas con actividades empresariales y profesionales	Régimen intermedio de las personas físicas con actividades empresariales	Régimen de los ingresos por intereses	Régimen de los ingresos por obtención de premios	Sin obligaciones fiscales	Pemex	Régimen simplificado de ley personas físicas	Ingresos por la obtención de préstamos	Sociedades cooperativas de producción que optan por diferir sus ingresos.	Régimen de incorporación fiscal	Régimen de actividades agrícolas, ganaderas, silvícolas y pesqueras	Régimen de opcional para grupos de sociedades	Régimen de los coordinados	Actividades Empresariales con ingresos a través de Plataformas Tecnológicas
2010 	Enero	900,390	101,399	206,536	3,691,416	17,785,232	576,623	994	33,273	5,747	632	918,279	2,834,991	1,732,638	12,638	43	1,239,209	6	7	10	2,170	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Febrero	907,086	103,579	207,854	3,693,991	18,092,909	576,263	989	33,177	5,626	633	923,530	2,837,709	1,740,840	12,694	43	1,293,522	6	7	9	2,297	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Marzo	917,292	107,444	210,505	3,702,948	18,671,990	576,933	974	33,137	5,614	630	932,054	2,842,316	1,757,977	12,809	43	1,278,899	6	5	9	2,505	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Abril	922,823	109,103	211,443	3,705,511	19,052,588	575,088	962	33,071	5,598	632	935,197	2,839,267	1,763,607	12,993	43	1,286,598	6	5	9	2,556	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Mayo	928,978	110,253	212,418	3,708,411	19,593,881	573,714	955	32,996	5,524	630	938,458	2,840,752	1,770,012	13,142	43	1,297,229	6	5	9	2,623	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Junio	935,233	111,084	213,436	3,713,083	19,952,909	573,453	949	32,942	5,429	631	941,608	2,844,554	1,780,173	13,338	42	1,397,194	6	5	9	2,657	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Julio	941,807	111,903	214,513	3,718,629	20,225,007	573,158	942	32,862	5,398	631	945,501	2,847,278	1,790,308	13,504	42	1,548,243	6	5	9	2,704	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Agosto	946,147	112,454	215,254	3,723,680	20,447,293	572,850	938	32,820	5,418	632	947,831	2,849,393	1,796,528	13,604	42	1,565,804	6	5	9	2,746	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Septiembre	951,605	113,158	216,168	3,730,412	20,796,712	572,553	928	32,752	5,412	638	950,704	2,853,074	1,805,070	13,715	42	1,580,512	6	5	9	2,769	n.a.	n.a.	n.a.	n.a.	n.a.
2010 	Octubre	957,417	113,980	217,069	3,738,073	21,321,458	571,735	919	32,673	5,353	676	954,077	2,846,526	1,816,013	13,969	42	1,623,407	6	5	9	2,809	n.a.	n.a.	n.a.	n.a.	n.a.
