Año	Mes	Activos	Suspendidos	Cancelados
2010 	Enero	 28,369,038 	 5,525,611 	 271,774 
2010 	Febrero	 28,761,233 	 5,545,614 	 272,067 
2010 	Marzo	 29,399,923 	 5,556,259 	 276,951 
2010 	Abril	 29,806,869 	 5,575,360 	 280,854 
2010 	Mayo	 30,382,958 	 5,566,904 	 284,841 
2010 	Junio	 30,873,431 	 5,556,880 	 287,710 
2010 	Julio	 31,328,940 	 5,545,021 	 289,737 
2010 	Agosto	 31,591,124 	 5,534,256 	 291,352 
2010 	Septiembre	 31,985,082 	 5,495,077 	 293,718 
2010 	Octubre	 32,576,715 	 5,436,400 	 298,058 
2010 	Noviembre	 32,971,844 	 5,390,436 	 312,709 
2010 	Diciembre	 33,468,711 	 5,102,726 	 320,234 
2011 	Enero	 33,579,842 	 5,144,294 	 322,388 
2011 	Febrero	 33,811,854 	 5,130,874 	 324,306 
2011 	Marzo	 34,104,166 	 5,126,280 	 326,478 
2011 	Abril	 34,362,162 	 5,116,722 	 329,719 
2011 	Mayo	 34,695,561 	 5,106,547 	 332,073 
2011 	Junio	 35,105,933 	 5,094,674 	 334,911 
2011 	Julio	 35,467,138 	 5,086,175 	 337,392 
2011 	Agosto	 35,786,675 	 5,076,409 	 339,621 
2011 	Septiembre	 36,196,509 	 5,053,594 	 343,102 
2011 	Octubre	 36,533,609 	 5,065,135 	 348,046 
2011 	Noviembre	 36,806,758 	 5,082,741 	 350,875 
2011 	Diciembre	 36,980,257 	 5,001,413 	 353,120 
2012 	Enero	 37,037,179 	 5,048,684 	 356,294 
2012 	Febrero	 37,137,585 	 5,064,579 	 358,805 
2012 	Marzo	 37,213,673 	 5,076,232 	 375,293 
2012 	Abril	 37,296,844 	 5,090,400 	 378,068 
2012 	Mayo	 37,397,195 	 5,102,523 	 381,544 
2012 	Junio	 37,531,005 	 5,116,572 	 390,266 
2012 	Julio	 37,718,110 	 5,141,141 	 399,697 
2012 	Agosto	 37,867,624 	 5,160,045 	 408,411 
2012 	Septiembre	 37,987,432 	 5,176,387 	 456,317 
2012 	Octubre	 38,150,581 	 5,193,565 	 469,066 
2012 	Noviembre	 38,389,401 	 5,205,491 	 472,962 
